Sieving to 243799 ...
Sieve done. Scanning qualifying primes (M(p) <= -3) up to 200000 ...
p,M_p,R,min_R_so_far
10949,-12,15.74223350,0.11989382
10957,-12,15.52984234,0.11989382
10973,-8,12.63557418,0.11989382
10979,-8,12.95582154,0.11989382
10987,-10,13.72253480,0.11989382
10993,-9,13.77242493,0.11989382
11003,-10,13.76985524,0.11989382
11027,-3,8.18028449,0.11989382
11087,-5,11.09086329,0.11989382
11093,-5,11.10861087,0.11989382
11159,-3,10.04966528,0.11989382
11161,-4,11.02264581,0.11989382
11171,-4,10.64666148,0.11989382
11173,-5,11.63346020,0.11989382
11177,-7,13.32603714,0.11989382
11273,-3,7.03708958,0.11989382
11279,-4,7.97248926,0.11989382
11287,-3,7.35023991,0.11989382
11299,-3,8.05813869,0.11989382
12919,-3,14.87551063,0.11989382
12923,-4,16.06621489,0.11989382
12941,-5,17.03251534,0.11989382
12953,-5,16.49380227,0.11989382
12959,-4,16.76433878,0.11989382
12967,-4,16.72649086,0.11989382
12973,-7,18.85491083,0.11989382
12979,-8,19.31881411,0.11989382
12983,-7,18.97600248,0.11989382
13001,-10,20.81064419,0.11989382
13003,-10,21.49636404,0.11989382
13007,-12,22.69240647,0.11989382
13009,-13,23.72681313,0.11989382
13033,-13,21.70556027,0.11989382
13037,-13,21.98283361,0.11989382
13043,-13,23.10689483,0.11989382
13049,-13,23.34665369,0.11989382
13063,-12,22.71072373,0.11989382
13093,-12,20.57067114,0.11989382
13099,-10,19.83039188,0.11989382
13103,-11,20.97143127,0.11989382
13109,-11,21.52181176,0.11989382
13121,-13,22.51607452,0.11989382
13127,-12,22.33454492,0.11989382
13147,-8,20.34528231,0.11989382
13151,-9,21.59568708,0.11989382
13159,-8,20.49257676,0.11989382
13163,-9,21.55770920,0.11989382
13171,-8,20.99238273,0.11989382
13177,-9,22.13766607,0.11989382
13183,-12,24.30689397,0.11989382
13187,-14,25.96771707,0.11989382
13217,-7,20.03064695,0.11989382
13219,-9,21.36942502,0.11989382
13229,-10,21.82986656,0.11989382
13241,-11,22.41451920,0.11989382
13249,-15,24.52570476,0.11989382
13259,-18,25.86438001,0.11989382
13267,-19,26.33467860,0.11989382
13291,-17,24.17705886,0.11989382
13297,-17,24.38838210,0.11989382
13309,-15,22.66797863,0.11989382
13313,-16,23.74566855,0.11989382
13327,-14,22.41475216,0.11989382
13331,-14,22.81339405,0.11989382
13337,-14,22.59541927,0.11989382
13339,-15,23.56688138,0.11989382
